region_type,region,date,statistic,num_people
state,"Arizona, US (State/Province)",2020-03-11,confirmed,9
state,"Arizona, US (State/Province)",2020-03-11,deaths,0
state,"Arizona, US (State/Province)",2020-03-11,recovered,1
state,"Arizona, US (State/Province)",2020-03-12,active,8
state,"Arizona, US (State/Province)",2020-03-12,confirmed,9
state,"Arizona, US (State/Province)",2020-03-12,deaths,0
state,"Arizona, US (State/Province)",2020-03-12,recovered,1
state,"Arizona, US (State/Province)",2020-03-13,active,8
state,"Arizona, US (State/Province)",2020-03-13,confirmed,9
state,"Arizona, US (State/Province)",2020-03-13,deaths,0
state,"Arizona, US (State/Province)",2020-03-13,recovered,1
